# Depth-area regression over ND dprst sample (issue #173 Task 7). Project=ND_3DEPProcessing_D22. n_sampled=731, n_usable=731 (626 non-flat / 105 flat). mean_depth_m = volume_mean_depth(depth_to_spill(dem)) over the polygon interior (_interior_mask). flat = is_hydroflattened verdict (cached from --flatness when available, else computed fresh) -- flat polygons are EXCLUDED from all fits (their measured depth is ~freeboard, not real bed depth; see Task 5). PLAYA-ANCHORED large-area extrapolation is DEFERRED (only 1 Playa polygon in the ND study area) -- see the run log for the full extrapolation-risk caveat.
COMID,FTYPE,area_m2,mean_depth_m,flat,n_interior_cells,resolution
14679058,SwampMarsh,353370.45975708193,0.0,True,353027,1m
14293011,SwampMarsh,610630.5541719677,5.458558356405245e-06,False,610004,1m
14825433,SwampMarsh,63114.95650868017,0.04143682533644016,False,63087,1m
14828517,SwampMarsh,606131.4088906661,1.4802181826816614e-05,False,606031,1m
14300069,SwampMarsh,296483.4867915791,0.2980454691815045,False,296202,1m
14679076,SwampMarsh,222786.93944993828,0.0013246359964358368,False,222554,1m
14293999,SwampMarsh,215112.3815387302,0.008261325929660411,False,214855,1m
14292979,SwampMarsh,58262.48923173901,0.014671188798189704,False,58188,1m
21542862,SwampMarsh,265112.01838259335,3.0544312753230397e-06,False,264828,1m
14293207,SwampMarsh,470353.85587850836,0.0001591618866618871,False,469880,1m
14411651,SwampMarsh,831303.2823783831,0.04493244372259651,False,841590,1m
14825491,SwampMarsh,251527.20713055483,0.0034351204027325676,False,251373,1m
6680892,SwampMarsh,139838.1937052923,2.0324804242545818,False,139586,1m
14745124,SwampMarsh,308947.2860755262,0.0,True,308682,1m
12713032,SwampMarsh,85726.78424269876,0.0,True,85708,1m
14826049,SwampMarsh,126713.9401924819,0.10803295332067336,False,126646,1m
14438736,SwampMarsh,2257901.508397708,0.10209313771107109,False,2256645,1m
14293037,SwampMarsh,328890.71527839365,0.004439935864052804,False,328446,1m
14293585,SwampMarsh,881986.7121599732,0.0,True,881088,1m
14293501,SwampMarsh,270141.00766889437,0.6165100429718191,False,269828,1m
14679188,SwampMarsh,223919.7940552874,0.0,True,222231,1m
