range,std,n_unique,flat,COMID,FTYPE,n_cells,resolution
4.12701416015625,0.28623842368446983,2376,False,14678050,SwampMarsh,147668,1m
3.267974853515625,0.04549924459375357,637,False,14827309,SwampMarsh,292786,1m
5.4849853515625,0.7581358397655621,5246,False,14273898,SwampMarsh,2427618,1m
1.826995849609375,0.2707314958040377,1722,False,14825803,SwampMarsh,134583,1m
6.375,0.35633703917464854,4067,False,14678248,SwampMarsh,523043,1m
0.0,0.0,1,True,14745110,SwampMarsh,63471,1m
1.1400146484375,0.06912143645241339,1063,False,14292921,SwampMarsh,343081,1m
4.23193359375,0.024093737829831558,240,False,14685032,SwampMarsh,647493,1m
3.873992919921875,0.4802129536230312,3391,False,14293695,SwampMarsh,327115,1m
3.926025390625,0.3851046565970092,3302,False,14678064,SwampMarsh,264469,1m
3.12799072265625,0.5209695909540196,3078,False,14438934,SwampMarsh,336979,1m
15.08599853515625,3.588390132292327,14893,False,14828483,SwampMarsh,3322055,1m
4.2550048828125,0.3688425823404636,3960,False,14299939,SwampMarsh,762859,1m
0.0,0.0,1,True,14678988,SwampMarsh,320909,1m
3.28900146484375,0.19271267780984985,2283,False,14425880,SwampMarsh,115463,1m
11.707000732421875,2.668765767762554,11337,False,14828489,SwampMarsh,1616436,1m
3.53399658203125,0.5248163780962252,3084,False,14411667,SwampMarsh,462118,1m
3.7969970703125,0.4307052484050001,2699,False,14826655,SwampMarsh,128650,1m
11.08599853515625,1.312535181576177,10694,False,14828845,SwampMarsh,4916536,1m
0.0,0.0,1,True,14292999,SwampMarsh,557823,1m
0.647979736328125,0.08672413126802035,552,False,14425910,SwampMarsh,51500,1m
3.134002685546875,0.41690706176783204,2854,False,14299993,SwampMarsh,430239,1m
4.84002685546875,0.3581858978925669,3654,False,14828179,SwampMarsh,558586,1m
11.680999755859375,2.332384707602711,11365,False,14828507,SwampMarsh,1038073,1m
0.0,0.0,1,True,14679344,SwampMarsh,141011,1m
0.0,0.0,1,True,14300029,SwampMarsh,647269,1m
2.39300537109375,0.11857055114463745,2126,False,21529428,SwampMarsh,531631,1m
1.5419921875,0.17926294187468877,1398,False,14292989,SwampMarsh,127916,1m
4.90899658203125,0.3564375333953564,3846,False,14679040,SwampMarsh,426976,1m
2.7030029296875,0.44007209205497855,2135,False,14438860,SwampMarsh,160219,1m
4.7850341796875,0.43145103373380056,3875,False,14677896,SwampMarsh,261930,1m
1.6090087890625,0.23178978132015252,1467,False,14425912,SwampMarsh,238161,1m
2.342987060546875,0.2585901795640897,1931,False,14438730,SwampMarsh,190736,1m
3.076995849609375,0.04336233465155306,1305,False,14293059,SwampMarsh,1289370,1m
4.21197509765625,0.7643319062608115,3944,False,14292939,SwampMarsh,258742,1m
9.897003173828125,1.3541804739133232,8518,False,14828281,SwampMarsh,704644,1m
0.2969970703125,0.003630795673241995,82,False,14679126,SwampMarsh,263206,1m
3.0679931640625,0.5028292789615644,2906,False,14747034,SwampMarsh,1352398,1m
