# Hollister/lakeMorpho terrain-slope max-depth prototype over an ND LakePond sample (issue #173 Task 6). Project=ND_3DEPProcessing_D22. n_sampled=300, n_usable=300. max_depth_m = lake_max_depth() (mean shoreline-ring slope x max in-polygon distance-to-shore, over the polygon interior via _interior_mask). mean_depth_m = max_to_mean(max_depth_m, shape='cone') = max_depth_m / 3 -- documented assumption (V/A of a cone), NOT field-calibrated in this spike; no bathymetry survey was available to fit the factor empirically. Cross-check: NHM's calibrated dprst_depth_avg median is ~49 in (docs/superpowers/... nhm_dprst_params_are_calibrated) -- compare against mean_depth_in below, but this spike does not block on matching it.
COMID,FTYPE,area_km2,max_depth_m,mean_depth_m,mean_depth_in,n_interior_cells,resolution
11498558,LakePond,0.027120673434603684,3.027707778337193,1.0092359261123975,39.733719334637705,27092,1m
12572814,LakePond,0.024947364204440086,3.262888009420799,1.0876293364735996,42.820075739899266,24928,1m
14253337,LakePond,0.014353878443992784,1.1050319478039434,0.36834398260131446,14.50173942941201,14293,1m
14285945,LakePond,0.05894321017915848,1.2282752016329979,0.40942506721099925,16.119105838603762,58860,1m
21541514,LakePond,0.02873129674160031,0.0,0.0,0.0,28697,1m
14683472,LakePond,0.03776802167784231,0.0,0.0,0.0,37733,1m
14268448,LakePond,0.06178309361753974,2.2099013062473203,0.7366337687491067,29.001345139029205,61738,1m
14183494,LakePond,0.043358364833011774,2.5387203368803095,0.8462401122934364,33.31655784500382,42815,1m
14160184,LakePond,0.18347581957876483,6.599214251153627,2.1997380837178753,86.60390832978112,183216,1m
14298487,LakePond,0.058861085831643345,1.6085728825279655,0.5361909608426552,21.10989174747142,58823,1m
11467862,LakePond,0.019148243349222886,0.0,0.0,0.0,19131,1m
14411781,LakePond,0.07949428027148533,0.0,0.0,0.0,79405,1m
21540858,LakePond,0.018645776575513116,5.453882852399482,1.8179609507998271,71.57330442908427,18638,1m
14412841,LakePond,0.014446758848826888,1.0661745429527008,0.3553915143175669,13.99179945783404,14442,1m
11461586,LakePond,0.037696508056317364,0.5160543171393702,0.1720181057131234,6.772370023736239,37673,1m
14414373,LakePond,0.016412260254402074,1.2823181080421917,0.42743936934739724,16.828330715143963,16407,1m
14747110,LakePond,0.011968338312459872,0.5120812648040515,0.1706937549346838,6.720230201153995,11964,1m
14438980,LakePond,0.06600425658565442,0.7523590522257023,0.25078635074190075,9.873483707343707,66019,1m
14291117,LakePond,0.02595582945225206,2.1418459100083704,0.7139486366694567,28.108229220540178,25935,1m
11461594,LakePond,0.02331004389519379,2.4609932614647834,0.8203310871549278,32.29651693439822,23290,1m
14413413,LakePond,0.017698195877230167,1.114696313197338,0.371565437732446,14.628568440070172,17686,1m
14267020,LakePond,0.007522901369042433,1.2111186992983751,0.40370623309945836,15.893954767748985,7515,1m
14048213,LakePond,0.08329167005022703,5.913674758316801,1.9712249194389335,77.60732220080276,83197,1m
167204369,LakePond,0.5469915979668758,0.0,0.0,0.0,546322,1m
14678210,LakePond,0.04354214237912146,5.032232279949424,1.6774107599831414,66.03982936161228,43502,1m
21529436,LakePond,0.021003654596680913,4.776725866854275,1.5922419556180918,62.686725016879834,21015,1m
11439795,LakePond,0.011625407347987093,1.8326067545315612,0.610868918177187,24.049970395527673,11617,1m
14292597,LakePond,0.03235980335900582,1.6966895051981616,0.5655631683993871,22.266278496200712,31930,1m
14266332,LakePond,0.030145017486532914,2.195502987782681,0.7318343292608935,28.812390726434305,30112,1m
14679516,LakePond,0.014920030741602266,1.151136571815946,0.38371219060531536,15.106787315350326,15000,1m
21535732,LakePond,0.08649896572287648,7.094121751157628,2.3647072503858757,93.09876091841697,86398,1m
11458740,LakePond,0.005303455911601208,0.040586045943628,0.013528681981209333,0.5326255624684095,5315,1m
14290489,LakePond,0.01500557118291059,1.238436358210503,0.41281211940350093,16.252454422127773,14992,1m
11438713,LakePond,0.020693168836987498,0.4719369505371619,0.1573123168457206,6.193401645447705,20678,1m
